language,phrase,date,count,share,period,from_date,to_date,devices
Ada,ada tutorial,2023-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-08-01T00:00:00Z,8,7.964060805002562e-08,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2023-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2024-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2025-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2026-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2026-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2026-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2026-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-01-01T00:00:00Z,519,6.681585731838106e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-02-01T00:00:00Z,493,6.360611335117499e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-03-01T00:00:00Z,512,6.090477078673597e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-04-01T00:00:00Z,557,7.350503381131524e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-05-01T00:00:00Z,624,8.30497766075003e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-06-01T00:00:00Z,498,7.177467579210317e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-07-01T00:00:00Z,515,7.3670820759401494e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-08-01T00:00:00Z,597,8.456945570893894e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-09-01T00:00:00Z,657,8.291234493440786e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-10-01T00:00:00Z,973,1.055886422551891e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-11-01T00:00:00Z,1415,1.665088230490634e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2018-12-01T00:00:00Z,1105,1.2921830369240389e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-01-01T00:00:00Z,2067,2.3476007141473607e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-02-01T00:00:00Z,639,7.619713767484248e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-03-01T00:00:00Z,869,9.896456964932206e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-04-01T00:00:00Z,893,1.0804547474710403e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-05-01T00:00:00Z,661,8.36019026644121e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-06-01T00:00:00Z,713,9.837584782490827e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-07-01T00:00:00Z,759,1.032301062854155e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-08-01T00:00:00Z,645,8.872046629617394e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-09-01T00:00:00Z,857,1.0893730783815613e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-10-01T00:00:00Z,904,1.0217998341785477e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-11-01T00:00:00Z,806,9.082237162710193e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2019-12-01T00:00:00Z,858,9.249906570957524e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-01-01T00:00:00Z,1009,1.0376347995571606e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-02-01T00:00:00Z,887,9.647449890853778e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-03-01T00:00:00Z,936,9.524893805234104e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-04-01T00:00:00Z,1057,8.848212276942734e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-05-01T00:00:00Z,915,8.531702480694261e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-06-01T00:00:00Z,767,8.600142307530267e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-07-01T00:00:00Z,592,7.029052351421118e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-08-01T00:00:00Z,616,7.345140659184874e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-09-01T00:00:00Z,600,6.319381399428477e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-10-01T00:00:00Z,676,6.283109401501829e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-11-01T00:00:00Z,705,6.150289282847564e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2020-12-01T00:00:00Z,778,7.039598272414431e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-01-01T00:00:00Z,717,6.869160910484826e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-02-01T00:00:00Z,661,6.612458647680609e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-03-01T00:00:00Z,733,6.733134803549853e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-04-01T00:00:00Z,920,8.534777965970043e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-05-01T00:00:00Z,662,6.416321205011052e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-06-01T00:00:00Z,652,6.5718589775347195e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-07-01T00:00:00Z,621,6.40134871836563e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-08-01T00:00:00Z,608,6.0644877172161894e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-09-01T00:00:00Z,1199,1.1192826497893717e-05,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-10-01T00:00:00Z,949,8.344700779598984e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-11-01T00:00:00Z,931,8.033446092919768e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2021-12-01T00:00:00Z,941,7.941332095826354e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2022-01-01T00:00:00Z,899,7.54077520039898e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2022-02-01T00:00:00Z,851,7.2057254358676145e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2022-03-01T00:00:00Z,909,7.1308250170435654e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2022-04-01T00:00:00Z,909,7.605045789287961e-06,monthly,2018-01-01,2026-04-30,all
C/C++,c++ tutorial,2022-05-01T00:00:00Z,991,8.305755109267885e-06,monthly,2018-01-01,2026-04-30,all
